,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,short_name,long_name,age,height_cm,weight_kg,nationality,overall,potential,value_eur,wage_eur,team_position
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,73,M. de Ligt,Matthijs de Ligt,19,189,89,Netherlands,85,93,50000000,76000,SUB
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,75,F. de Jong,Frenkie de Jong,22,180,74,Netherlands,85,91,52000000,195000,LCM
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,76,R. Varane,Raphaël Varane,26,191,81,France,85,90,45000000,205000,RCB
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,77,N. Süle,Niklas Süle,23,195,97,Germany,85,90,46500000,115000,RCB
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,78,S. Milinković-Savić,Sergej Milinković-Savić,24,191,76,Serbia,85,90,50500000,73000,RDM
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,79,Rodri,Rodrigo Hernández Cascante,23,191,82,Spain,85,90,47000000,150000,SUB
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,80,Saúl,Saúl Ñíguez Esclápez,24,184,77,Spain,85,89,49500000,77000,LCM
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,81,Fabinho,Fábio Henrique Tavares,25,188,78,Brazil,85,89,45000000,125000,CDM
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,82,A. Robertson,Andrew Robertson,25,178,64,Scotland,85,89,43500000,125000,LB
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,83,J. Giménez,José María Giménez de Vargas,24,185,80,Uruguay,85,89,45000000,69000,RCB
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,84,C. Lenglet,Clément Lenglet,24,186,81,France,85,89,45000000,175000,LCB
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,85,Bruno Fernandes,Bruno Miguel Borges Fernandes,24,179,69,Portugal,85,88,49000000,24000,RCM
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,89,R. Lukaku,Romelu Lukaku,26,190,94,Belgium,85,86,46000000,115000,LS
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,90,K. Manolas,Kostas Manolas,28,189,83,Greece,85,86,37500000,105000,RCB
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,91,Neto,Norberto Murara Neto,29,190,84,Brazil,85,86,31000000,175000,SUB
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,92,D. Alaba,David Olatukunbo Alaba,27,180,78,Austria,85,86,38000000,135000,LB
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,93,M. Icardi,Mauro Emanuel Icardi Rivero,26,181,75,Argentina,85,86,46000000,115000,RES
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,94,Carvajal,Daniel Carvajal Ramos,27,173,73,Spain,85,86,38000000,205000,RB
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,95,H. Ziyech,Hakim Ziyech,26,181,65,Morocco,85,86,45000000,39000,RAM
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,96,Z. Ibrahimović,Zlatan Ibrahimović,37,195,95,Sweden,85,85,14000000,15000,ST
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,97,A. Gómez,Alejandro Darío Gómez,31,165,68,Argentina,85,85,34000000,92000,CAM
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,98,G. Higuaín,Gonzalo Gerardo Higuaín,31,186,89,Argentina,85,85,34500000,175000,SUB
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,99,B. Matuidi,Blaise Matuidi,32,180,75,France,85,85,25000000,145000,SUB
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,100,G. Bale,Gareth Frank Bale,29,185,82,Wales,85,85,37500000,250000,SUB
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,101,Marcelo,Marcelo Vieira da Silva Júnior,31,174,75,Brazil,85,85,28000000,205000,LB
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,102,A. Witsel,Axel  Witsel,30,186,81,Belgium,85,85,31500000,110000,LDM
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,103,Alex Sandro,Alex Sandro Lobo Silva,28,180,80,Brazil,85,85,33000000,155000,LB
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,104,Iago Aspas,Iago Aspas Juncal,31,176,67,Spain,85,85,34500000,49000,RS
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,105,Koke,Jorge Resurrección Merodio,27,176,74,Spain,85,85,40500000,88000,RM
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,106,J. Rodríguez,James David Rodríguez Rubio,27,180,75,Colombia,85,85,40500000,225000,SUB
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,107,Allan,Allan Marques Loureiro,28,175,74,Brazil,85,85,38000000,110000,RCM
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,108,J. Sancho,Jadon Sancho,19,180,76,England,84,92,44500000,61000,RM
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,109,K. Havertz,Kai Havertz,20,188,83,Germany,84,92,46000000,70000,RF
96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,110,O. Dembélé,Ousmane Dembélé,22,178,67,France,84,90,42500000,195000,SUB
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,112,João Cancelo,João Pedro Cavaco Cancelo,25,182,74,Portugal,84,89,36500000,150000,SUB
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,113,D. Alli,Bamidele Alli,23,188,80,England,84,89,41500000,115000,CAM
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,114,L. Hernández,Lucas Hernández,23,182,76,France,84,89,37500000,110000,LCB
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,115,Arthur,Arthur Henrique Ramos Oliveira Melo,22,171,73,Brazil,84,89,41000000,180000,SUB
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,116,M. Depay,Memphis Depay,25,176,78,Netherlands,84,88,40500000,110000,LW
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,117,L. Goretzka,Leon Goretzka,24,189,79,Germany,84,88,40000000,120000,SUB
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,118,J. Brandt,Julian Brandt,23,185,83,Germany,84,88,40500000,94000,SUB
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,119,K. Coman,Kingsley Coman,23,179,75,France,84,88,40500000,120000,LW
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,120,S. Gnabry,Serge Gnabry,23,175,75,Germany,84,87,39500000,120000,RW
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,121,N. Fekir,Nabil Fekir,25,173,75,France,84,87,39000000,40000,RM
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,123,Luis Alberto,Luis Alberto Romero Alconchel,26,183,74,Spain,84,86,37500000,78000,CM
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,124,Alex Telles,Alex Nicolao Telles,26,181,71,Brazil,84,86,33000000,23000,LB
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,126,S. de Vrij,Stefan de Vrij,27,189,78,Netherlands,84,85,31500000,88000,CB
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,127,Felipe Anderson,Felipe  Anderson Pereira Gomes,26,175,70,Brazil,84,85,36500000,125000,RM
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,128,Pepe,Képler Laveran Lima Ferreira,36,188,81,Portugal,84,84,6500000,16000,RCB
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,129,João Moutinho,João Filipe Iria Santos Moutinho,32,170,61,Portugal,84,84,23500000,125000,LCM
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,132,M. Hamšík,Marek Hamšík,31,183,73,Slovakia,84,84,26500000,26000,CAM
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,133,Sokratis,Sokratis Papastathopoulos,31,186,85,Greece,84,84,23000000,115000,RCB
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,134,Lucas Leiva,Lucas  Pezzini Leiva,32,179,78,Brazil,84,84,20500000,71000,LDM
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,135,M. Özil,Mesut Özil,30,180,76,Germany,84,84,29500000,125000,CAM
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,136,Javi Martínez,Javier Martínez Aginaga,30,192,86,Spain,84,84,25500000,125000,SUB
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,138,E. Džeko,Edin Džeko,33,193,80,Bosnia Herzegovina,84,84,19500000,75000,ST
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,139,G. Wijnaldum,Georginio Wijnaldum,28,175,69,Netherlands,84,84,31000000,140000,LCM
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,140,I. Perišić,Ivan Perišić,30,186,80,Croatia,84,84,29500000,135000,SUB
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,141,M. Mandžukić,Mario Mandžukić,33,190,85,Croatia,84,84,19500000,160000,ST
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,142,A. Vidal,Arturo Vidal,32,180,75,Chile,84,84,23500000,205000,SUB
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,143,J. Boateng,Jérôme Boateng,30,192,90,Germany,84,84,25000000,125000,SUB
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,144,Azpilicueta,César Azpilicueta Tanco,29,178,76,Spain,84,84,25500000,145000,RB
125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,145,José Callejón,José María Callejón Bueno,32,178,73,Spain,84,84,24000000,96000,RM
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,146,I. Gündoğan,İlkay Gündoğan,28,180,80,Germany,84,84,31000000,180000,SUB
127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,147,Paulinho,José Paulo Bezzera Maciel Júnior,30,183,80,Brazil,84,84,29000000,43000,LCM
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,148,K. Walker,Kyle Walker,29,183,70,England,84,84,25500000,165000,RB
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,149,Canales,Sergio Canales Madrazo,28,176,65,Spain,84,84,31500000,44000,RCM
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,150,Douglas Costa,Douglas Costa de Souza,28,172,70,Brazil,84,84,31500000,155000,SUB
